OBJECT_ID,B_INFO_BENCHMARKCODE,TRADE_DT,B_INFO_RATE,OPDATE,OPMODE
{39EFCC18-C14A-3006-E063-1F01C80AE1C2},SHIBOR_1Y(15),20250715,1.6347,2025-07-15,0
{39EFF421-BC09-55DB-E063-1F01C80AEB8A},SHIBOR_1W(1250),20250715,1.9313,2025-07-15,0
{39EFF421-BC0A-55DB-E063-1F01C80AEB8A},SHIBOR_6M(20),20250715,1.6210,2025-07-15,0
{39EFF878-7956-A785-E063-2001C80A3E22},SHIBOR_3M(10),20250715,1.5770,2025-07-15,0
{39EFF878-7957-A785-E063-2001C80A3E22},SHIBOR_6M(7),20250715,1.5936,2025-07-15,0
{39EFF879-2ED5-6665-E063-1F01C80A89B0},SHIBOR_1Y(20),20250715,1.6431,2025-07-15,0
{39EFF879-2ED6-6665-E063-1F01C80A89B0},SHIBOR_1Y(30),20250715,1.6583,2025-07-15,0
{39F0010B-32A8-A953-E063-2001C80ABE31},SHIBOR_1Y(750),20250715,2.1828,2025-07-15,0
{39F0012A-679D-6AF8-E063-1F01C80A12FD},SHIBOR_3M(5),20250715,1.5596,2025-07-15,0
{39F0012A-679E-6AF8-E063-1F01C80A12FD},SHIBOR_1Y(10),20250715,1.6235,2025-07-15,0
{39F00198-A15A-6F0D-E063-2001C80A0015},SHIBOR_1W(750),20250715,1.8037,2025-07-15,0
{39F00198-A15B-6F0D-E063-2001C80A0015},SHIBOR_6M(5),20250715,1.5916,2025-07-15,0
{39F00198-A15C-6F0D-E063-2001C80A0015},SHIBOR_1Y(5),20250715,1.6176,2025-07-15,0
{39F00B6A-201E-833A-E063-1F01C80AC0AD},SHIBOR_1W(250),20250715,1.7157,2025-07-15,0
{39F010FD-5677-A878-E063-2001C80AF097},SHIBOR_1W(120),20250715,1.7069,2025-07-15,0
{39F02EA6-83AE-8343-E063-1F01C80A570A},SHIBOR_1Y(1250),20250715,2.4345,2025-07-15,0
{39F699BF-4950-013B-E063-2001C80AD4F6},M1000166(5),20250715,1.6600,2025-07-15,0
{39F69B68-8D07-F677-E063-2001C80A2E79},M1004265(20),20250715,1.5783,2025-07-15,0
{39F69B68-8D08-F677-E063-2001C80A2E79},M1000159(5),20250715,1.3956,2025-07-15,0
{39F69B68-8D09-F677-E063-2001C80A2E79},M1000167(250),20250715,2.0052,2025-07-15,0
{39F69B68-8D0A-F677-E063-2001C80A2E79},DR007(14),20250715,1.5512,2025-07-15,0
{39F6B6EB-2A7F-27AD-E063-2001C80A2972},M1000162(10),20250715,1.5114,2025-07-15,0
{39F6B6EB-2A80-27AD-E063-2001C80A2972},M1000158(30),20250715,1.3731,2025-07-15,0
{39F6BF48-EF4D-32DD-E063-2001C80A83F6},M1000158(5),20250715,1.3687,2025-07-15,0
{39F6BF4A-DC93-0733-E063-2001C80A4208},M1000164(5),20250715,1.6215,2025-07-15,0
{39F6BF4A-DC94-0733-E063-2001C80A4208},M1004263(20),20250715,1.4782,2025-07-15,0
{39F6BF4A-DC95-0733-E063-2001C80A4208},M1000158(20),20250715,1.3548,2025-07-15,0
{39F6BFEA-3FCD-246C-E063-2001C80A2CB5},M1000160(250),20250715,1.4941,2025-07-15,0
{39F6BFEA-3FCE-246C-E063-2001C80A2CB5},M1000161(5),20250715,1.4634,2025-07-15,0
{39F6BFEA-3FCF-246C-E063-2001C80A2CB5},DR007(1),20250715,1.5696,2025-07-15,0
{39F6C05E-9475-0DEB-E063-2001C80AB8D7},M1000160(750),20250715,2.0255,2025-07-15,0
{39F6C05E-9476-0DEB-E063-2001C80AB8D7},M1000162(250),20250715,1.6377,2025-07-15,0
{39F6C05E-9477-0DEB-E063-2001C80AB8D7},DR007(30),20250715,1.5475,2025-07-15,0
