OBJECT_ID,S_INFO_WINDCODE,TRADE_DT,CRNCY_CODE,S_DQ_PRECLOSE,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE,S_DQ_CHANGE,S_DQ_PCTCHANGE,S_DQ_VOLUME,S_DQ_AMOUNT,S_DQ_ADJPRECLOSE,S_DQ_ADJOPEN,S_DQ_ADJHIGH,S_DQ_ADJLOW,S_DQ_ADJCLOSE,S_DQ_ADJFACTOR,TRADES_COUNT,DISCOUNT_RATE,S_DQ_AVGPRICE,OPDATE,OPMODE
{4F96543A-2091-488D-96E7-EF76FCEDBEC2},510050.SH,20250714,CNY,2.8710,2.8700,2.8840,2.8670,2.8690,-0.0020,-0.0697,5217903.0100,1500087.6160,4.0490,4.0480,4.0680,4.0440,4.0470,1.410442,19265.0000,0.048800,2.8749,2025-07-14,1
{ACCB38B7-C366-4114-BED9-B167EFC4229F},510050.SH,20250715,CNY,2.8690,2.8690,2.8760,2.8390,2.8550,-0.0140,-0.4880,6323674.4200,1805683.9020,4.0470,4.0470,4.0560,4.0040,4.0270,1.410442,26609.0000,-0.091000,2.8554,2025-07-15,1
