F_INFO_WINDCODE,PRICE_DATE,F_NAV_UNIT,F_NAV_ACCUMULATED,F_NAV_ADJUSTED,IS_EXDIVIDENDDATE,F_NAV_DISTRIBUTION
510050.SH,20050321,0.82300000,0.82300000,0.97430000,0,0.0000
510050.SH,20050322,0.80800000,0.80800000,0.95650000,0,0.0000
510050.SH,20050323,0.80200000,0.80200000,0.94940000,0,0.0000
510050.SH,20050324,0.80800000,0.80800000,0.95650000,0,0.0000
510050.SH,20050325,0.80700000,0.80700000,0.95540000,0,0.0000
510050.SH,20050328,0.80600000,0.80600000,0.95420000,0,0.0000
510050.SH,20050329,0.80300000,0.80300000,0.95060000,0,0.0000
510050.SH,20050330,0.79100000,0.79100000,0.93640000,0,0.0000
510050.SH,20050331,0.79600000,0.79600000,0.94230000,0,0.0000
510050.SH,20050401,0.82300000,0.82300000,0.97430000,0,0.0000
510050.SH,20050404,0.80900000,0.80900000,0.95770000,0,0.0000
510050.SH,20050405,0.80200000,0.80200000,0.94940000,0,0.0000
510050.SH,20050406,0.81700000,0.81700000,0.96720000,0,0.0000
510050.SH,20050407,0.82500000,0.82500000,0.97670000,0,0.0000
510050.SH,20050408,0.83800000,0.83800000,0.99210000,0,0.0000
510050.SH,20050411,0.83100000,0.83100000,0.98380000,0,0.0000
510050.SH,20050412,0.81900000,0.81900000,0.96960000,0,0.0000
510050.SH,20050413,0.83600000,0.83600000,0.98970000,0,0.0000
510050.SH,20050414,0.82600000,0.82600000,0.97790000,0,0.0000
510050.SH,20050415,0.81700000,0.81700000,0.96720000,0,0.0000
510050.SH,20050418,0.80600000,0.80600000,0.95420000,0,0.0000
510050.SH,20050419,0.80900000,0.80900000,0.95770000,0,0.0000
510050.SH,20050420,0.79900000,0.79900000,0.94590000,0,0.0000
510050.SH,20050421,0.79400000,0.79400000,0.94000000,0,0.0000
510050.SH,20050422,0.79500000,0.79500000,0.94120000,0,0.0000
510050.SH,20050425,0.79100000,0.79100000,0.93640000,0,0.0000
510050.SH,20050426,0.79900000,0.79900000,0.94590000,0,0.0000
510050.SH,20050427,0.78500000,0.78500000,0.92930000,0,0.0000
510050.SH,20050428,0.79500000,0.79500000,0.94120000,0,0.0000
510050.SH,20050429,0.79200000,0.79200000,0.93760000,0,0.0000
510050.SH,20050509,0.77700000,0.77700000,0.91980000,0,0.0000
510050.SH,20050510,0.78100000,0.78100000,0.92460000,0,0.0000
510050.SH,20050511,0.77300000,0.77300000,0.91510000,0,0.0000
510050.SH,20050512,0.75600000,0.75600000,0.89500000,0,0.0000
510050.SH,20050513,0.75900000,0.75900000,0.89850000,0,0.0000
510050.SH,20050516,0.75000000,0.75000000,0.88790000,0,0.0000
510050.SH,20050517,0.75300000,0.75300000,0.89140000,0,0.0000
510050.SH,20050518,0.75500000,0.75500000,0.89380000,0,0.0000
510050.SH,20050519,0.75700000,0.75700000,0.89620000,0,0.0000
510050.SH,20050520,0.75500000,0.75500000,0.89380000,0,0.0000
510050.SH,20050523,0.74200000,0.74200000,0.87840000,0,0.0000
510050.SH,20050524,0.74200000,0.74200000,0.87840000,0,0.0000
510050.SH,20050525,0.74300000,0.74300000,0.87960000,0,0.0000
510050.SH,20050526,0.73400000,0.73400000,0.86890000,0,0.0000
510050.SH,20050527,0.72900000,0.72900000,0.86300000,0,0.0000
510050.SH,20050530,0.73400000,0.73400000,0.86890000,0,0.0000
510050.SH,20050531,0.73600000,0.73600000,0.87130000,0,0.0000
510050.SH,20050601,0.72400000,0.72400000,0.85710000,0,0.0000
510050.SH,20050602,0.70700000,0.70700000,0.83700000,0,0.0000
510050.SH,20050603,0.70600000,0.70600000,0.83580000,0,0.0000
510050.SH,20050606,0.72300000,0.72300000,0.85590000,0,0.0000
510050.SH,20050607,0.72000000,0.72000000,0.85240000,0,0.0000
510050.SH,20050608,0.77800000,0.77800000,0.92100000,0,0.0000
510050.SH,20050609,0.78400000,0.78400000,0.92810000,0,0.0000
510050.SH,20050610,0.77300000,0.77300000,0.91510000,0,0.0000
510050.SH,20050613,0.76900000,0.76900000,0.91040000,0,0.0000
510050.SH,20050614,0.76400000,0.76400000,0.90450000,0,0.0000
510050.SH,20050615,0.75500000,0.75500000,0.89380000,0,0.0000
510050.SH,20050616,0.76700000,0.76700000,0.90800000,0,0.0000
510050.SH,20050617,0.77100000,0.77100000,0.91270000,0,0.0000
510050.SH,20050620,0.79000000,0.79000000,0.93520000,0,0.0000
510050.SH,20050621,0.78000000,0.78000000,0.92340000,0,0.0000
510050.SH,20050622,0.78500000,0.78500000,0.92930000,0,0.0000
510050.SH,20050623,0.77900000,0.77900000,0.92220000,0,0.0000
510050.SH,20050624,0.78400000,0.78400000,0.92810000,0,0.0000
510050.SH,20050627,0.79400000,0.79400000,0.94000000,0,0.0000
510050.SH,20050628,0.78800000,0.78800000,0.93290000,0,0.0000
510050.SH,20050629,0.78500000,0.78500000,0.92930000,0,0.0000
510050.SH,20050630,0.77300000,0.77300000,0.91510000,0,0.0000
510050.SH,20050701,0.76200000,0.76200000,0.90210000,0,0.0000
510050.SH,20050704,0.76100000,0.76100000,0.90090000,0,0.0000
510050.SH,20050705,0.75500000,0.75500000,0.89380000,0,0.0000
510050.SH,20050706,0.74900000,0.74900000,0.88670000,0,0.0000
510050.SH,20050707,0.75000000,0.75000000,0.88790000,0,0.0000
510050.SH,20050708,0.74200000,0.74200000,0.87840000,0,0.0000
510050.SH,20050711,0.74100000,0.74100000,0.87720000,0,0.0000
510050.SH,20050712,0.76800000,0.76800000,0.90920000,0,0.0000
510050.SH,20050713,0.76300000,0.76300000,0.90330000,0,0.0000
510050.SH,20050714,0.76900000,0.76900000,0.91040000,0,0.0000
510050.SH,20050715,0.76400000,0.76400000,0.90450000,0,0.0000
510050.SH,20050718,0.76300000,0.76300000,0.90330000,0,0.0000
510050.SH,20050719,0.76300000,0.76300000,0.90330000,0,0.0000
510050.SH,20050720,0.77000000,0.77000000,0.91160000,0,0.0000
510050.SH,20050721,0.77300000,0.77300000,0.91510000,0,0.0000
510050.SH,20050722,0.78500000,0.78500000,0.92930000,0,0.0000
